index,date,ON
1,27-May-2014,-0.13
2,29-May-2014,-0.13
3,30-May-2014,-0.135
4,2-Jun-2014,-0.125
5,3-Jun-2014,-0.135
6,4-Jun-2014,-0.385
7,5-Jun-2014,-0.385
8,6-Jun-2014,-0.135
9,9-Jun-2014,-0.13
10,10-Jun-2014,-0.135
11,11-Jun-2014,-0.135
12,12-Jun-2014,-0.4
13,13-Jun-2014,-0.135
14,16-Jun-2014,-0.13
15,17-Jun-2014,-0.13
16,18-Jun-2014,-0.13
17,19-Jun-2014,-0.39
18,20-Jun-2014,-0.135
19,23-Jun-2014,-0.13
20,24-Jun-2014,-0.13
21,25-Jun-2014,-0.13
22,26-Jun-2014,-0.39
23,27-Jun-2014,-0.09
24,30-Jun-2014,-0.13
25,1-Jul-2014,-0.525
26,2-Jul-2014,-0.135
27,3-Jul-2014,-0.135
28,4-Jul-2014,-0.14
29,7-Jul-2014,-0.135
30,8-Jul-2014,-0.14
31,9-Jul-2014,-0.42
32,10-Jul-2014,-0.135
33,11-Jul-2014,-0.135
34,14-Jul-2014,-0.13
35,15-Jul-2014,-0.125
36,16-Jul-2014,-0.115
37,17-Jul-2014,-0.13
38,18-Jul-2014,-0.135
39,21-Jul-2014,-0.135
40,22-Jul-2014,-0.15
41,23-Jul-2014,-0.42
42,24-Jul-2014,-0.155
43,25-Jul-2014,-0.15
44,28-Jul-2014,-0.15
45,29-Jul-2014,-0.15
46,30-Jul-2014,-0.445
47,31-Jul-2014,-0.15
48,1-Aug-2014,-0.135
49,4-Aug-2014,-0.14
50,5-Aug-2014,-0.14
51,6-Aug-2014,-0.135
52,7-Aug-2014,-0.165
53,8-Aug-2014,-0.135
54,11-Aug-2014,-0.145
55,12-Aug-2014,-0.15
56,13-Aug-2014,-0.14
57,14-Aug-2014,-0.135
58,15-Aug-2014,-0.14
59,18-Aug-2014,-0.14
60,19-Aug-2014,-0.135
61,20-Aug-2014,-0.13
62,21-Aug-2014,-0.475
63,22-Aug-2014,-0.125
64,25-Aug-2014,-0.13
65,26-Aug-2014,-0.12
66,27-Aug-2014,-0.145
67,28-Aug-2014,-0.31
68,29-Aug-2014,-0.13
69,1-Sep-2014,-0.12
70,2-Sep-2014,-0.13
71,3-Sep-2014,-0.18
72,4-Sep-2014,-0.38
73,5-Sep-2014,-0.14
74,8-Sep-2014,-0.145
75,9-Sep-2014,-0.14
76,10-Sep-2014,-0.19
77,11-Sep-2014,-0.44
78,12-Sep-2014,-0.145
79,15-Sep-2014,-0.15
80,16-Sep-2014,-0.155
81,17-Sep-2014,-0.16
82,18-Sep-2014,-0.405
83,19-Sep-2014,-0.15
84,22-Sep-2014,-0.15
85,23-Sep-2014,-0.15
86,24-Sep-2014,-0.145
87,25-Sep-2014,-0.43
88,26-Sep-2014,-0.155
89,29-Sep-2014,-0.135
90,30-Sep-2014,-0.14
91,1-Oct-2014,-0.165
92,2-Oct-2014,-0.43
93,3-Oct-2014,-0.135
94,6-Oct-2014,-0.125
95,7-Oct-2014,-0.125
96,8-Oct-2014,-0.125
97,9-Oct-2014,-0.535
98,10-Oct-2014,-0.13
99,13-Oct-2014,-0.135
100,14-Oct-2014,-0.125
101,15-Oct-2014,-0.12
102,16-Oct-2014,-0.15
103,17-Oct-2014,-0.125
104,20-Oct-2014,-0.125
105,21-Oct-2014,-0.13
106,22-Oct-2014,-0.375
107,23-Oct-2014,-0.135
108,24-Oct-2014,-0.14
109,27-Oct-2014,-0.125
110,28-Oct-2014,-0.14
111,29-Oct-2014,-0.15
112,30-Oct-2014,-0.135
113,31-Oct-2014,-0.14
114,3-Nov-2014,-0.13
115,4-Nov-2014,-0.135
116,5-Nov-2014,-0.125
117,6-Nov-2014,-0.38
118,7-Nov-2014,-0.25
119,10-Nov-2014,-0.24
120,11-Nov-2014,-0.13
121,12-Nov-2014,-0.11
122,13-Nov-2014,-0.325
123,14-Nov-2014,-0.125
124,17-Nov-2014,-0.12
125,18-Nov-2014,-0.12
126,19-Nov-2014,-0.105
127,20-Nov-2014,-0.32
128,21-Nov-2014,-0.12
129,24-Nov-2014,-0.12
130,25-Nov-2014,-0.255
131,26-Nov-2014,-0.395
132,27-Nov-2014,-0.125
133,28-Nov-2014,-0.13
134,1-Dec-2014,-0.13
135,2-Dec-2014,-0.14
136,3-Dec-2014,-0.13
137,4-Dec-2014,-0.4
138,5-Dec-2014,-0.135
139,8-Dec-2014,-0.135
140,9-Dec-2014,-0.14
141,10-Dec-2014,-0.15
142,11-Dec-2014,-0.465
143,12-Dec-2014,-0.155
144,15-Dec-2014,-0.145
145,16-Dec-2014,-0.14
146,17-Dec-2014,-0.145
147,18-Dec-2014,-0.395
148,19-Dec-2014,-0.14
149,22-Dec-2014,-0.1
150,23-Dec-2014,-0.375
151,24-Dec-2014,-0.11
152,26-Dec-2014,-0.095
153,29-Dec-2014,-0.1
154,30-Dec-2014,-0.145
155,31-Dec-2014,-0.32
156,2-Jan-2015,-0.115
157,5-Jan-2015,-0.115
158,6-Jan-2015,-0.105
159,7-Jan-2015,-0.11
160,8-Jan-2015,-0.35
161,9-Jan-2015,-0.115
162,12-Jan-2015,-0.115
163,13-Jan-2015,-0.13
164,14-Jan-2015,-0.12
165,15-Jan-2015,-0.465
166,16-Jan-2015,-0.115
167,19-Jan-2015,-0.115
168,20-Jan-2015,-0.12
169,21-Jan-2015,-0.1
170,22-Jan-2015,-0.285
171,23-Jan-2015,-0.095
172,26-Jan-2015,-0.105
173,27-Jan-2015,-0.09
174,28-Jan-2015,-0.09
175,29-Jan-2015,-0.295
176,30-Jan-2015,-0.1
177,2-Feb-2015,-0.12
178,3-Feb-2015,-0.12
179,4-Feb-2015,-0.115
180,5-Feb-2015,-0.35
181,6-Feb-2015,-0.115
182,9-Feb-2015,-0.105
183,10-Feb-2015,-0.105
184,11-Feb-2015,-0.11
185,12-Feb-2015,-0.455
186,13-Feb-2015,-0.12
187,16-Feb-2015,-0.12
188,17-Feb-2015,-0.12
189,18-Feb-2015,-0.11
190,19-Feb-2015,-0.33
191,20-Feb-2015,-0.12
192,23-Feb-2015,-0.125
193,24-Feb-2015,-0.125
194,25-Feb-2015,-0.13
195,26-Feb-2015,-0.38
196,27-Feb-2015,-0.12
197,2-Mar-2015,-0.115
198,3-Mar-2015,-0.115
199,4-Mar-2015,-0.11
200,5-Mar-2015,-0.3
201,6-Mar-2015,-0.1
202,9-Mar-2015,-0.1
203,10-Mar-2015,-0.1
204,11-Mar-2015,-0.295
205,12-Mar-2015,-0.12
206,13-Mar-2015,-0.11
207,16-Mar-2015,-0.11
208,17-Mar-2015,-0.11
209,18-Mar-2015,-0.3
210,19-Mar-2015,-0.3
211,20-Mar-2015,-0.1
212,23-Mar-2015,-0.115
213,24-Mar-2015,-0.11
214,25-Mar-2015,-0.29
215,26-Mar-2015,-0.085
216,27-Mar-2015,-0.1
217,30-Mar-2015,-0.08
218,31-Mar-2015,-0.52
219,1-Apr-2015,-0.1
220,2-Apr-2015,-0.115
221,3-Apr-2015,-0.11
222,6-Apr-2015,-0.11
223,7-Apr-2015,-0.11
224,8-Apr-2015,-0.11
225,9-Apr-2015,-0.325
226,10-Apr-2015,-0.11
227,13-Apr-2015,-0.12
228,14-Apr-2015,-0.125
229,15-Apr-2015,-0.12
230,16-Apr-2015,-0.36
231,17-Apr-2015,-0.12
232,20-Apr-2015,-0.11
233,21-Apr-2015,-0.11
234,22-Apr-2015,-0.11
235,23-Apr-2015,-0.33
236,24-Apr-2015,-0.115
237,27-Apr-2015,-0.135
238,28-Apr-2015,-0.12
239,29-Apr-2015,-0.13
240,30-Apr-2015,-0.535
241,1-May-2015,-0.14
242,4-May-2015,-0.135
243,5-May-2015,-0.135
244,6-May-2015,-0.14
245,7-May-2015,-0.43
246,8-May-2015,-0.14
247,11-May-2015,-0.125
248,12-May-2015,-0.12
249,13-May-2015,-0.12
250,14-May-2015,-0.36
251,15-May-2015,-0.125
252,18-May-2015,-0.12
253,19-May-2015,-0.12
254,20-May-2015,-0.13
255,21-May-2015,-0.485
256,22-May-2015,-0.12
257,25-May-2015,-0.12
258,26-May-2015,-0.13
259,27-May-2015,-0.12
260,28-May-2015,-0.395
261,29-May-2015,-0.12
262,1-Jun-2015,-0.13
263,2-Jun-2015,-0.125
264,3-Jun-2015,-0.125
265,4-Jun-2015,-0.37
266,5-Jun-2015,-0.12
267,8-Jun-2015,-0.125
268,9-Jun-2015,-0.13
269,10-Jun-2015,-0.13
270,11-Jun-2015,-0.38
271,12-Jun-2015,-0.11
272,15-Jun-2015,-0.12
273,16-Jun-2015,-0.105
274,17-Jun-2015,-0.105
275,18-Jun-2015,-0.335
276,19-Jun-2015,-0.11
277,22-Jun-2015,-0.12
278,23-Jun-2015,-0.115
279,24-Jun-2015,-0.11
280,25-Jun-2015,-0.315
281,26-Jun-2015,-0.08
282,29-Jun-2015,-0.05
283,30-Jun-2015,-0.105
284,1-Jul-2015,-0.1
285,2-Jul-2015,-0.315
286,3-Jul-2015,-0.095
287,6-Jul-2015,-0.1
288,7-Jul-2015,-0.11
289,8-Jul-2015,-0.11
